Rank,Club,Country,Level,Elo,From,To
None,Palermo,ITA,1,1494.02600098,1948-07-04,1948-09-19
None,Palermo,ITA,1,1519.93444824,1948-09-20,1948-09-26
None,Palermo,ITA,1,1529.79052734,1948-09-27,1948-10-03
None,Palermo,ITA,1,1538.98254395,1948-10-04,1948-10-10
None,Palermo,ITA,1,1545.79064941,1948-10-11,1948-10-17
None,Palermo,ITA,1,1542.57006836,1948-10-18,1948-10-24
None,Palermo,ITA,1,1529.1817627,1948-10-25,1948-10-31
None,Palermo,ITA,1,1535.98925781,1948-11-01,1948-11-04
None,Palermo,ITA,1,1542.72094727,1948-11-05,1948-11-07
None,Palermo,ITA,1,1538.90649414,1948-11-08,1948-11-14
None,Palermo,ITA,1,1549.04626465,1948-11-15,1948-11-21
None,Palermo,ITA,1,1548.83703613,1948-11-22,1948-11-28
None,Palermo,ITA,1,1546.16210938,1948-11-29,1948-12-05
None,Palermo,ITA,1,1552.8659668,1948-12-06,1948-12-08
None,Palermo,ITA,1,1562.15014648,1948-12-09,1948-12-12
None,Palermo,ITA,1,1557.09155273,1948-12-13,1948-12-19
None,Palermo,ITA,1,1555.42163086,1948-12-20,1948-12-26
None,Palermo,ITA,1,1552.56506348,1948-12-27,1949-01-02
None,Palermo,ITA,1,1556.77856445,1949-01-03,1949-01-06
None,Palermo,ITA,1,1561.90148926,1949-01-07,1949-01-09
None,Palermo,ITA,1,1548.49865723,1949-01-10,1949-01-16
None,Palermo,ITA,1,1547.04211426,1949-01-17,1949-01-23
None,Palermo,ITA,1,1565.5690918,1949-01-24,1949-01-30
None,Palermo,ITA,1,1573.42956543,1949-01-31,1949-02-06
None,Palermo,ITA,1,1588.09924316,1949-02-07,1949-02-13
None,Palermo,ITA,1,1581.93908691,1949-02-14,1949-02-20
None,Palermo,ITA,1,1575.55175781,1949-02-21,1949-03-05
None,Palermo,ITA,1,1577.55175781,1949-03-06,1949-03-06
None,Palermo,ITA,1,1589.25476074,1949-03-07,1949-03-13
None,Palermo,ITA,1,1595.52954102,1949-03-14,1949-03-20
None,Palermo,ITA,1,1591.9954834,1949-03-21,1949-04-02
None,Palermo,ITA,1,1603.9954834,1949-04-03,1949-04-03
None,Palermo,ITA,1,1610.53662109,1949-04-04,1949-04-10
None,Palermo,ITA,1,1598.13537598,1949-04-11,1949-04-17
None,Palermo,ITA,1,1594.76330566,1949-04-18,1949-04-24
None,Palermo,ITA,1,1591.08947754,1949-04-25,1949-04-30
None,Palermo,ITA,1,1587.15893555,1949-05-01,1949-05-08
None,Palermo,ITA,1,1597.55371094,1949-05-09,1949-05-15
None,Palermo,ITA,1,1595.68029785,1949-05-16,1949-05-22
None,Palermo,ITA,1,1594.73864746,1949-05-23,1949-05-25
None,Palermo,ITA,1,1600.73864746,1949-05-26,1949-05-29
None,Palermo,ITA,1,1605.10620117,1949-05-30,1949-06-16
None,Palermo,ITA,1,1601.10620117,1949-06-17,1949-06-29
None,Palermo,ITA,1,1512.91369629,1949-06-30,1949-07-02
None,Palermo,ITA,1,1519.25109863,1949-07-03,1949-09-11
None,Palermo,ITA,1,1516.66809082,1949-09-12,1949-09-18
None,Palermo,ITA,1,1512.9708252,1949-09-19,1949-09-25
None,Palermo,ITA,1,1518.11608887,1949-09-26,1949-10-02
None,Palermo,ITA,1,1523.71325684,1949-10-03,1949-10-09
None,Palermo,ITA,1,1520.51965332,1949-10-10,1949-10-16
None,Palermo,ITA,1,1518.47436523,1949-10-17,1949-10-20
None,Palermo,ITA,1,1524.78491211,1949-10-21,1949-10-23
None,Palermo,ITA,1,1530.64111328,1949-10-24,1949-10-30
None,Palermo,ITA,1,1533.39355469,1949-10-31,1949-11-06
None,Palermo,ITA,1,1528.57275391,1949-11-07,1949-11-20
None,Palermo,ITA,1,1540.13049316,1949-11-21,1949-12-04
None,Palermo,ITA,1,1537.55065918,1949-12-05,1949-12-08
None,Palermo,ITA,1,1530.91711426,1949-12-09,1949-12-11
None,Palermo,ITA,1,1526.36657715,1949-12-12,1949-12-18
None,Palermo,ITA,1,1531.79016113,1949-12-19,1949-12-26
None,Palermo,ITA,1,1538.23034668,1949-12-27,1950-01-01
None,Palermo,ITA,1,1547.07141113,1950-01-02,1950-01-08
None,Palermo,ITA,1,1551.1262207,1950-01-09,1950-01-15
