Rank,Club,Country,Level,Elo,From,To
None,Hamburg,FRG,0,1555.7598877,1949-06-06,1949-06-06
None,Hamburg,FRG,0,1538.19250488,1949-06-07,1950-06-04
None,Hamburg,FRG,0,1530.91748047,1950-06-05,1950-11-25
None,Hamburg,FRG,0,1534.91748047,1950-11-26,1951-04-16
None,Hamburg,FRG,0,1542.91748047,1951-04-17,1951-05-06
None,Hamburg,FRG,0,1548.62646484,1951-05-07,1951-05-13
None,Hamburg,FRG,0,1538.69750977,1951-05-14,1951-05-20
None,Hamburg,FRG,0,1532.13232422,1951-05-21,1951-05-27
None,Hamburg,FRG,0,1544.66796875,1951-05-28,1951-06-03
None,Hamburg,FRG,0,1555.17443848,1951-06-04,1951-06-10
None,Hamburg,FRG,0,1547.01599121,1951-06-11,1951-06-18
None,Hamburg,FRG,0,1529.01599121,1951-06-19,1951-07-01
None,Hamburg,FRG,1,1529.01599121,1951-07-02,1951-08-26
None,Hamburg,FRG,1,1532.38391113,1951-08-27,1951-09-02
None,Hamburg,FRG,1,1537.80383301,1951-09-03,1951-09-09
None,Hamburg,FRG,1,1528.28088379,1951-09-10,1951-09-16
None,Hamburg,FRG,1,1532.35473633,1951-09-17,1951-09-23
None,Hamburg,FRG,1,1515.75390625,1951-09-24,1951-09-24
None,Hamburg,FRG,1,1534.75390625,1951-09-25,1951-09-30
None,Hamburg,FRG,1,1532.08349609,1951-10-01,1951-10-07
None,Hamburg,FRG,1,1536.30419922,1951-10-08,1951-10-18
None,Hamburg,FRG,1,1521.30419922,1951-10-19,1951-10-21
None,Hamburg,FRG,1,1506.63574219,1951-10-22,1951-10-28
None,Hamburg,FRG,1,1510.42028809,1951-10-29,1951-11-04
None,Hamburg,FRG,1,1522.49157715,1951-11-05,1951-11-11
None,Hamburg,FRG,1,1537.33044434,1951-11-12,1951-11-18
None,Hamburg,FRG,1,1539.78271484,1951-11-19,1951-11-23
None,Hamburg,FRG,1,1548.78271484,1951-11-24,1951-12-02
None,Hamburg,FRG,1,1548.01538086,1951-12-03,1951-12-09
None,Hamburg,FRG,1,1552.71252441,1951-12-10,1951-12-16
None,Hamburg,FRG,1,1567.18774414,1951-12-17,1951-12-23
None,Hamburg,FRG,1,1570.89660645,1951-12-24,1951-12-25
None,Hamburg,FRG,1,1571.89660645,1951-12-26,1951-12-30
None,Hamburg,FRG,1,1566.75292969,1951-12-31,1952-01-06
None,Hamburg,FRG,1,1575.77404785,1952-01-07,1952-01-20
None,Hamburg,FRG,1,1577.57751465,1952-01-21,1952-01-27
None,Hamburg,FRG,1,1579.44067383,1952-01-28,1952-02-03
None,Hamburg,FRG,1,1570.02624512,1952-02-04,1952-02-10
None,Hamburg,FRG,1,1574.75439453,1952-02-11,1952-02-24
None,Hamburg,FRG,1,1575.47875977,1952-02-25,1952-03-02
None,Hamburg,FRG,1,1567.24035645,1952-03-03,1952-03-09
None,Hamburg,FRG,1,1580.68261719,1952-03-10,1952-03-16
None,Hamburg,FRG,1,1586.17272949,1952-03-17,1952-03-19
None,Hamburg,FRG,1,1585.07495117,1952-03-20,1952-03-26
None,Hamburg,FRG,1,1586.68334961,1952-03-27,1952-03-30
None,Hamburg,FRG,1,1590.1171875,1952-03-31,1952-04-06
None,Hamburg,FRG,1,1582.48486328,1952-04-07,1952-04-21
None,Hamburg,FRG,1,1584.48486328,1952-04-22,1952-04-27
None,Hamburg,FRG,1,1589.97241211,1952-04-28,1952-05-07
None,Hamburg,FRG,1,1593.97241211,1952-05-08,1952-05-11
None,Hamburg,FRG,1,1584.32373047,1952-05-12,1952-05-18
None,Hamburg,FRG,1,1575.00341797,1952-05-19,1952-05-25
None,Hamburg,FRG,1,1581.08374023,1952-05-26,1952-06-01
None,Hamburg,FRG,1,1572.68725586,1952-06-02,1952-06-08
None,Hamburg,FRG,1,1580.47216797,1952-06-09,1952-08-24
None,Hamburg,FRG,1,1580.77392578,1952-08-25,1952-08-31
None,Hamburg,FRG,1,1564.8840332,1952-09-01,1952-09-07
None,Hamburg,FRG,1,1566.28137207,1952-09-08,1952-09-14
None,Hamburg,FRG,1,1572.69250488,1952-09-15,1952-09-21
None,Hamburg,FRG,1,1564.96191406,1952-09-22,1952-09-28
None,Hamburg,FRG,1,1567.17895508,1952-09-29,1952-10-06
None,Hamburg,FRG,1,1548.17895508,1952-10-07,1952-10-12
None,Hamburg,FRG,1,1548.73583984,1952-10-13,1952-10-19
None,Hamburg,FRG,1,1556.16369629,1952-10-20,1952-10-26
None,Hamburg,FRG,1,1550.3223877,1952-10-27,1952-11-02
None,Hamburg,FRG,1,1558.62243652,1952-11-03,1952-11-10
None,Hamburg,FRG,1,1564.62243652,1952-11-11,1952-11-16
None,Hamburg,FRG,1,1567.27307129,1952-11-17,1952-11-23
None,Hamburg,FRG,1,1571.89013672,1952-11-24,1952-11-30
None,Hamburg,FRG,1,1564.24316406,1952-12-01,1952-12-07
None,Hamburg,FRG,1,1556.26855469,1952-12-08,1952-12-14
None,Hamburg,FRG,1,1524.6036377,1952-12-15,1952-12-25
None,Hamburg,FRG,1,1532.6036377,1952-12-26,1952-12-29
None,Hamburg,FRG,1,1534.6036377,1952-12-30,1953-01-04
None,Hamburg,FRG,1,1527.33532715,1953-01-05,1953-01-11
None,Hamburg,FRG,1,1525.04785156,1953-01-12,1953-01-25
None,Hamburg,FRG,1,1535.68481445,1953-01-26,1953-02-08
None,Hamburg,FRG,1,1536.69799805,1953-02-09,1953-02-22
None,Hamburg,FRG,1,1539.07348633,1953-02-23,1953-02-25
None,Hamburg,FRG,1,1542.89685059,1953-02-26,1953-03-01
None,Hamburg,FRG,1,1560.33605957,1953-03-02,1953-03-08
None,Hamburg,FRG,1,1567.71582031,1953-03-09,1953-03-15
None,Hamburg,FRG,1,1570.30541992,1953-03-16,1953-03-23
None,Hamburg,FRG,1,1566.30541992,1953-03-24,1953-03-29
None,Hamburg,FRG,1,1557.92700195,1953-03-30,1953-04-03
None,Hamburg,FRG,1,1561.06347656,1953-04-04,1953-04-06
