Rank,Club,Country,Level,Elo,From,To
None,Twente,NED,1,1069.13220215,1956-07-01,1956-09-02
None,Twente,NED,1,1078.06750488,1956-09-03,1956-09-09
None,Twente,NED,1,1098.24316406,1956-09-10,1956-09-23
None,Twente,NED,1,1087.9432373,1956-09-24,1956-09-30
None,Twente,NED,1,1090.51147461,1956-10-01,1956-10-07
None,Twente,NED,1,1098.16918945,1956-10-08,1956-10-21
None,Twente,NED,1,1110.77038574,1956-10-22,1956-10-28
None,Twente,NED,1,1138.93981934,1956-10-29,1956-11-01
None,Twente,NED,1,1138.91796875,1956-11-02,1956-11-11
None,Twente,NED,1,1146.7857666,1956-11-12,1956-11-14
None,Twente,NED,1,1146.73815918,1956-11-15,1956-12-02
None,Twente,NED,1,1155.5345459,1956-12-03,1956-12-09
None,Twente,NED,1,1150.93505859,1956-12-10,1956-12-16
None,Twente,NED,1,1151.42602539,1956-12-17,1956-12-23
None,Twente,NED,1,1146.53930664,1956-12-24,1956-12-26
None,Twente,NED,1,1154.66589355,1956-12-27,1957-01-06
None,Twente,NED,1,1159.93688965,1957-01-07,1957-01-13
None,Twente,NED,1,1160.48913574,1957-01-14,1957-01-27
None,Twente,NED,1,1163.30480957,1957-01-28,1957-02-03
None,Twente,NED,1,1164.93371582,1957-02-04,1957-02-10
None,Twente,NED,1,1170.77722168,1957-02-11,1957-02-17
None,Twente,NED,1,1169.53271484,1957-02-18,1957-02-24
None,Twente,NED,1,1157.33496094,1957-02-25,1957-03-03
None,Twente,NED,1,1146.51220703,1957-03-04,1957-03-10
None,Twente,NED,1,1147.31640625,1957-03-11,1957-03-17
None,Twente,NED,1,1136.3449707,1957-03-18,1957-03-24
None,Twente,NED,1,1133.34313965,1957-03-25,1957-03-31
None,Twente,NED,1,1147.43322754,1957-04-01,1957-04-07
None,Twente,NED,1,1137.68371582,1957-04-08,1957-04-14
None,Twente,NED,1,1125.87927246,1957-04-15,1957-04-17
None,Twente,NED,1,1126.00305176,1957-04-18,1957-04-22
None,Twente,NED,1,1134.50427246,1957-04-23,1957-04-30
None,Twente,NED,1,1147.25854492,1957-05-01,1957-05-05
None,Twente,NED,1,1137.81884766,1957-05-06,1957-05-12
None,Twente,NED,1,1133.5135498,1957-05-13,1957-05-19
None,Twente,NED,1,1123.71582031,1957-05-20,1957-06-02
None,Twente,NED,1,1136.23901367,1957-06-03,1957-08-25
None,Twente,NED,1,1144.05053711,1957-08-26,1957-09-01
None,Twente,NED,1,1129.76599121,1957-09-02,1957-09-08
None,Twente,NED,1,1120.3626709,1957-09-09,1957-09-15
None,Twente,NED,1,1128.72436523,1957-09-16,1957-09-22
None,Twente,NED,1,1142.80151367,1957-09-23,1957-09-29
None,Twente,NED,1,1148.98132324,1957-09-30,1957-10-06
None,Twente,NED,1,1161.66894531,1957-10-07,1957-10-13
None,Twente,NED,1,1156.14941406,1957-10-14,1957-10-20
None,Twente,NED,1,1154.46923828,1957-10-21,1957-10-27
None,Twente,NED,1,1161.2166748,1957-10-28,1957-11-03
None,Twente,NED,1,1160.67700195,1957-11-04,1957-11-10
None,Twente,NED,1,1157.3347168,1957-11-11,1957-11-20
None,Twente,NED,1,1209.0645752,1957-11-21,1957-11-24
None,Twente,NED,1,1209.32067871,1957-11-25,1957-11-27
None,Twente,NED,1,1229.44274902,1957-11-28,1957-12-01
None,Twente,NED,1,1232.3581543,1957-12-02,1957-12-08
None,Twente,NED,1,1242.77844238,1957-12-09,1957-12-22
None,Twente,NED,1,1250.7277832,1957-12-23,1957-12-26
None,Twente,NED,1,1256.67407227,1957-12-27,1958-01-05
None,Twente,NED,1,1258.76000977,1958-01-06,1958-01-12
None,Twente,NED,1,1261.34277344,1958-01-13,1958-01-19
None,Twente,NED,1,1264.57946777,1958-01-20,1958-02-02
None,Twente,NED,1,1254.046875,1958-02-03,1958-02-05
None,Twente,NED,1,1254.16430664,1958-02-06,1958-02-09
None,Twente,NED,1,1259.26672363,1958-02-10,1958-02-23
None,Twente,NED,1,1259.38842773,1958-02-24,1958-02-26
None,Twente,NED,1,1259.05627441,1958-02-27,1958-03-16
None,Twente,NED,1,1231.21264648,1958-03-17,1958-03-30
None,Twente,NED,1,1229.3548584,1958-03-31,1958-04-07
None,Twente,NED,1,1234.77648926,1958-04-08,1958-04-20
None,Twente,NED,1,1241.63085938,1958-04-21,1958-04-27
None,Twente,NED,1,1244.35766602,1958-04-28,1958-05-11
None,Twente,NED,1,1256.94702148,1958-05-12,1958-05-15
None,Twente,NED,1,1262.25170898,1958-05-16,1958-05-18
None,Twente,NED,1,1251.81481934,1958-05-19,1958-05-25
None,Twente,NED,1,1254.97424316,1958-05-26,1958-06-01
None,Twente,NED,1,1247.09960938,1958-06-02,1958-06-04
None,Twente,NED,1,1253.17260742,1958-06-05,1958-08-24
None,Twente,NED,1,1258.85913086,1958-08-25,1958-08-31
None,Twente,NED,1,1269.63989258,1958-09-01,1958-09-07
None,Twente,NED,1,1272.31896973,1958-09-08,1958-09-14
None,Twente,NED,1,1284.08642578,1958-09-15,1958-09-21
None,Twente,NED,1,1286.92358398,1958-09-22,1958-10-01
None,Twente,NED,1,1284.97998047,1958-10-02,1958-10-05
None,Twente,NED,1,1271.56286621,1958-10-06,1958-10-08
None,Twente,NED,1,1271.33447266,1958-10-09,1958-10-12
None,Twente,NED,1,1254.4510498,1958-10-13,1958-10-19
None,Twente,NED,1,1245.38317871,1958-10-20,1958-10-26
None,Twente,NED,1,1239.31970215,1958-10-27,1958-11-09
None,Twente,NED,1,1238.65844727,1958-11-10,1958-11-16
None,Twente,NED,1,1236.7947998,1958-11-17,1958-11-23
None,Twente,NED,1,1225.18981934,1958-11-24,1958-11-30
None,Twente,NED,1,1235.09008789,1958-12-01,1958-12-14
None,Twente,NED,1,1244.27758789,1958-12-15,1958-12-21
None,Twente,NED,1,1251.85180664,1958-12-22,1958-12-26
None,Twente,NED,1,1263.1328125,1958-12-27,1958-12-28
None,Twente,NED,1,1265.97717285,1958-12-29,1959-01-04
None,Twente,NED,1,1275.42077637,1959-01-05,1959-01-11
None,Twente,NED,1,1268.72009277,1959-01-12,1959-02-01
None,Twente,NED,1,1258.20593262,1959-02-02,1959-02-22
None,Twente,NED,1,1265.00476074,1959-02-23,1959-03-01
None,Twente,NED,1,1251.97949219,1959-03-02,1959-03-08
None,Twente,NED,1,1255.44689941,1959-03-09,1959-03-15
None,Twente,NED,1,1248.71264648,1959-03-16,1959-03-22
