Rank,Club,Country,Level,Elo,From,To
None,Alkmaar,NED,1,1123.64990234,1960-07-01,1960-08-21
None,Alkmaar,NED,1,1130.92614746,1960-08-22,1960-08-28
None,Alkmaar,NED,1,1136.94726562,1960-08-29,1960-08-31
None,Alkmaar,NED,1,1142.91455078,1960-09-01,1960-09-04
None,Alkmaar,NED,1,1140.21105957,1960-09-05,1960-09-07
None,Alkmaar,NED,1,1126.93615723,1960-09-08,1960-09-11
None,Alkmaar,NED,1,1123.37902832,1960-09-12,1960-09-25
None,Alkmaar,NED,1,1124.50012207,1960-09-26,1960-10-09
None,Alkmaar,NED,1,1141.64929199,1960-10-10,1960-10-23
None,Alkmaar,NED,1,1138.8515625,1960-10-24,1960-11-06
None,Alkmaar,NED,1,1154.99511719,1960-11-07,1960-11-10
None,Alkmaar,NED,1,1145.85668945,1960-11-11,1960-11-13
None,Alkmaar,NED,1,1136.51660156,1960-11-14,1960-11-16
None,Alkmaar,NED,1,1131.64257812,1960-11-17,1960-11-27
None,Alkmaar,NED,1,1127.6262207,1960-11-28,1960-12-11
None,Alkmaar,NED,1,1136.13586426,1960-12-12,1960-12-18
None,Alkmaar,NED,1,1131.90795898,1960-12-19,1960-12-26
None,Alkmaar,NED,1,1135.29663086,1960-12-27,1961-01-08
None,Alkmaar,NED,1,1136.73779297,1961-01-09,1961-01-15
None,Alkmaar,NED,1,1129.91357422,1961-01-16,1961-02-05
None,Alkmaar,NED,1,1118.57714844,1961-02-06,1961-02-19
None,Alkmaar,NED,1,1119.0201416,1961-02-20,1961-02-26
None,Alkmaar,NED,1,1119.62927246,1961-02-27,1961-03-05
None,Alkmaar,NED,1,1124.6920166,1961-03-06,1961-03-12
None,Alkmaar,NED,1,1116.87890625,1961-03-13,1961-03-19
None,Alkmaar,NED,1,1113.64880371,1961-03-20,1961-03-26
None,Alkmaar,NED,1,1108.60742188,1961-03-27,1961-04-01
None,Alkmaar,NED,1,1104.4317627,1961-04-02,1961-04-03
None,Alkmaar,NED,1,1105.19140625,1961-04-04,1961-04-09
None,Alkmaar,NED,1,1103.45446777,1961-04-10,1961-04-16
None,Alkmaar,NED,1,1110.16516113,1961-04-17,1961-04-23
None,Alkmaar,NED,1,1102.28942871,1961-04-24,1961-05-04
None,Alkmaar,NED,1,1102.53991699,1961-05-05,1961-05-20
None,Alkmaar,NED,1,1107.12097168,1961-05-21,1961-05-22
None,Alkmaar,NED,1,1121.41333008,1961-05-23,1961-05-28
None,Alkmaar,NED,1,1111.02661133,1961-05-29,1961-06-04
None,Alkmaar,NED,1,1117.28308105,1961-06-05,1961-07-02
None,Alkmaar,NED,1,1268.57299805,1968-07-02,1968-08-18
None,Alkmaar,NED,1,1276.15637207,1968-08-19,1968-08-22
None,Alkmaar,NED,1,1287.96032715,1968-08-23,1968-08-25
None,Alkmaar,NED,1,1292.01086426,1968-08-26,1968-09-01
None,Alkmaar,NED,1,1284.57727051,1968-09-02,1968-09-08
None,Alkmaar,NED,1,1283.42858887,1968-09-09,1968-09-18
None,Alkmaar,NED,1,1292.50671387,1968-09-19,1968-09-19
